State,Average_Height,Pct_Bachelors_or_more,White,Black,Hispanic,Asian,Foreign-Born,Gender,Income,Log_Income
Alabama,66.924,0.405091121,0.636,0.25,0.058,0.016,0.039765934,Male,58293,10.973237296519136
Alaska,67.476,0.30644072,0.574,0.023,0.074,0.061,0.074407627,Male,70177,11.158775901002087
Arizona,67.176,0.379122439,0.523,0.044,0.317,0.035,0.131998599,Male,59700,10.997087299380693
Arkansas,66.756,0.376987071,0.673,0.141,0.092,0.017,0.052918573,Male,52577,10.870034040741325
California,66.66,0.410174765,0.333,0.05,0.406,0.156,0.273064662,Male,69343,11.146820483373775
Colorado,67.44,0.386318721,0.647,0.036,0.227,0.032,0.095804417,Male,72763,11.194962863227914
Connecticut,66.948,0.370923109,0.614,0.098,0.187,0.047,0.163278757,Male,77561,11.25882000251741
Delaware,66.96,0.384953353,0.582,0.213,0.111,0.043,0.111571001,Male,65471,11.089362575489863
Florida,,0.40646024,0.503,0.142,0.276,0.029,0.220995735,Male,55918,10.931641610888983
Georgia,66.864,0.368472238,0.488,0.304,0.111,0.045,0.115553157,Male,61086,11.02003798633525
Hawaii,65.976,0.371615931,0.198,0.014,0.098,0.366,0.178209343,Male,64848,11.07980134886809
Idaho,67.356,0.418198525,0.784,0.008,0.138,0.014,0.057009985,Male,58067,10.969352795244081
Illinois,67.212,0.375418841,0.58,0.128,0.191,0.06,0.149716061,Male,67800,11.124317473928487
Indiana,67.032,0.341640616,0.752,0.087,0.088,0.026,0.063048594,Male,61185,11.021657340419768
Iowa,67.476,0.420249371,0.826,0.036,0.074,0.023,0.058810341,Male,61509,11.026938784551156
Kansas,67.392,0.417294332,0.73,0.048,0.137,0.026,0.070538237,Male,60698,11.013666027575601
Kentucky,67.2,0.368851654,0.819,0.071,0.048,0.014,0.044557035,Male,56777,10.946886593125658
Louisiana,66.936,0.41337195,0.56,0.298,0.071,0.017,0.048684788,Male,59105,10.987070802184476
Maine,66.876,0.380263206,0.9,0.018,0.021,0.009,0.038294159,Male,61295,11.023453552529094
Maryland,66.984,0.374580306,0.464,0.288,0.127,0.066,0.170201932,Male,76771,11.24858224365869
Massachusetts,66.78,0.372689863,0.662,0.065,0.135,0.072,0.180475359,Male,81751,11.311433321100587
Michigan,67.08,0.387991956,0.726,0.13,0.059,0.033,0.073481401,Male,63053,11.051730921545806
Minnesota,67.5,0.390224687,0.757,0.068,0.064,0.052,0.086329616,Male,69275,11.14583936973118
Mississippi,66.948,0.431080268,0.552,0.355,0.036,0.009,0.025569023,Male,52207,10.862971864497037
Missouri,67.176,0.389650742,0.768,0.105,0.052,0.02,0.047905831,Male,59171,10.98818683598424
Montana,67.74,0.36789113,0.839,0.005,0.046,0.008,0.021736175,Male,58649,10.979325803637883
Nebraska,67.344,0.42845865,0.752,0.042,0.13,0.026,0.07700294,Male,60853,11.016216398761607
Nevada,67.116,0.319390656,0.444,0.087,0.3,0.091,0.192468731,Male,55485,10.923867992934664
New Hampshire,66.624,0.396240052,0.865,0.012,0.045,0.026,0.067667151,Male,75549,11.232536731345913
New Jersey,66.828,0.36370467,0.506,0.119,0.227,0.102,0.242220376,Male,78423,11.269872530661651
New Mexico,66.408,0.3525591,0.361,0.016,0.487,0.017,0.102014736,Male,55924,10.931748905107716
New York,66.696,0.399548323,0.528,0.132,0.199,0.09,0.230849018,Male,71516,11.17767647987171
North Carolina,67.044,0.394372172,0.599,0.198,0.114,0.033,0.091839585,Male,57390,10.957625351102408
North Dakota,67.476,0.478534156,0.816,0.026,0.044,0.014,0.039667009,Male,63278,11.05529299637949
Ohio,67.104,0.355677321,0.758,0.117,0.048,0.025,0.052763145,Male,62229,11.038576408014254
Oklahoma,67.092,0.362783934,0.619,0.064,0.129,0.023,0.061134376,Male,54849,10.912339233996613
Oregon,67.488,0.371662482,0.71,0.019,0.149,0.045,0.096068417,Male,64099,11.068184042163045
Pennsylvania,67.08,0.368067181,0.73,0.099,0.089,0.039,0.079566828,Male,65492,11.089683276759382
Rhode Island,66.516,0.392366211,0.676,0.046,0.182,0.032,0.147081742,Male,71118,11.172095748307555
South Carolina,66.996,0.375746775,0.62,0.24,0.074,0.017,0.058888017,Male,57868,10.96591983374948
South Dakota,67.476,0.382144622,0.796,0.024,0.05,0.017,0.043448513,Male,58235,10.972241827536752
Tennessee,67.308,0.373664764,0.713,0.15,0.075,0.018,0.060621717,Male,57455,10.958757311691734
Texas,66.924,0.380482391,0.388,0.118,0.4,0.056,0.178842683,Male,61431,11.02566987271667
Utah,67.68,0.454675159,0.745,0.01,0.16,0.025,0.088884624,Male,67477,11.119542078054563
Vermont,66.948,0.409918055,0.892,0.013,0.024,0.016,0.044862726,Male,63127,11.052903849244077
Virginia,67.08,0.382974316,0.583,0.179,0.111,0.07,0.133493152,Male,72896,11.196789046806854
Washington,67.236,0.356095042,0.625,0.038,0.145,0.099,0.155375867,Male,77909,11.263296757919722
West Virginia,66.948,0.356503988,0.902,0.026,0.02,0.007,0.018262544,Male,57183,10.954011930397183
Wisconsin,67.224,0.394373308,0.787,0.057,0.081,0.029,0.052089552,Male,62608,11.044648344450193
Wyoming,67.128,0.388303907,0.815,0.006,0.107,0.006,0.036431376,Male,62317,11.039989540746648
Alabama,66.924,0.405091121,0.636,0.25,0.058,0.016,0.039765934,Female,43218,10.674012354117417
Alaska,67.476,0.30644072,0.574,0.023,0.074,0.061,0.074407627,Female,60571,11.011571509662051
Arizona,67.176,0.379122439,0.523,0.044,0.317,0.035,0.131998599,Female,51289,10.845231583215277
Arkansas,66.756,0.376987071,0.673,0.141,0.092,0.017,0.052918573,Female,42123,10.64834918878275
California,66.66,0.410174765,0.333,0.05,0.406,0.156,0.273064662,Female,60893,11.016873504562854
Colorado,67.44,0.386318721,0.647,0.036,0.227,0.032,0.095804417,Female,58811,10.982084191220336
Connecticut,66.948,0.370923109,0.614,0.098,0.187,0.047,0.163278757,Female,65679,11.092534518675446
Delaware,66.96,0.384953353,0.582,0.213,0.111,0.043,0.111571001,Female,53129,10.880478197509905
Florida,,0.40646024,0.503,0.142,0.276,0.029,0.220995735,Female,47125,10.760558924750312
Georgia,66.864,0.368472238,0.488,0.304,0.111,0.045,0.115553157,Female,49872,10.817215002007117
Hawaii,65.976,0.371615931,0.198,0.014,0.098,0.366,0.178209343,Female,53780,10.892656929822856
Idaho,67.356,0.418198525,0.784,0.008,0.138,0.014,0.057009985,Female,44107,10.694373778997369
Illinois,67.212,0.375418841,0.58,0.128,0.191,0.06,0.149716061,Female,54544,10.906762994377685
Indiana,67.032,0.341640616,0.752,0.087,0.088,0.026,0.063048594,Female,47523,10.76896908335696
Iowa,67.476,0.420249371,0.826,0.036,0.074,0.023,0.058810341,Female,49559,10.810919157976958
Kansas,67.392,0.417294332,0.73,0.048,0.137,0.026,0.070538237,Female,46948,10.756795885220015
Kentucky,67.2,0.368851654,0.819,0.071,0.048,0.014,0.044557035,Female,45024,10.714950959914114
Louisiana,66.936,0.41337195,0.56,0.298,0.071,0.017,0.048684788,Female,43414,10.678537248715708
Maine,66.876,0.380263206,0.9,0.018,0.021,0.009,0.038294159,Female,50893,10.837480668523288
Maryland,66.984,0.374580306,0.464,0.288,0.127,0.066,0.170201932,Female,65420,11.088583301092374
Massachusetts,66.78,0.372689863,0.662,0.065,0.135,0.072,0.180475359,Female,69248,11.145449542766098
Michigan,67.08,0.387991956,0.726,0.13,0.059,0.033,0.073481401,Female,50792,10.835494140850285
Minnesota,67.5,0.390224687,0.757,0.068,0.064,0.052,0.086329616,Female,57610,10.961451442726428
Mississippi,66.948,0.431080268,0.552,0.355,0.036,0.009,0.025569023,Female,40341,10.605123600491979
Missouri,67.176,0.389650742,0.768,0.105,0.052,0.02,0.047905831,Female,46479,10.746755876664402
Montana,67.74,0.36789113,0.839,0.005,0.046,0.008,0.021736175,Female,46043,10.73733102144275
Nebraska,67.344,0.42845865,0.752,0.042,0.13,0.026,0.07700294,Female,50037,10.820518010745282
Nevada,67.116,0.319390656,0.444,0.087,0.3,0.091,0.192468731,Female,47938,10.777663788302934
New Hampshire,66.624,0.396240052,0.865,0.012,0.045,0.026,0.067667151,Female,56748,10.946375692431875
New Jersey,66.828,0.36370467,0.506,0.119,0.227,0.102,0.242220376,Female,64922,11.080941828301254
New Mexico,66.408,0.3525591,0.361,0.016,0.487,0.017,0.102014736,Female,47645,10.771532971782289
New York,66.696,0.399548323,0.528,0.132,0.199,0.09,0.230849018,Female,62234,11.038656753177117
North Carolina,67.044,0.394372172,0.599,0.198,0.114,0.033,0.091839585,Female,48599,10.791358233545207
North Dakota,67.476,0.478534156,0.816,0.026,0.044,0.014,0.039667009,Female,49562,10.810979690053934
Ohio,67.104,0.355677321,0.758,0.117,0.048,0.025,0.052763145,Female,50414,10.828024193264133
Oklahoma,67.092,0.362783934,0.619,0.064,0.129,0.023,0.061134376,Female,43233,10.67435937150647
Oregon,67.488,0.371662482,0.71,0.019,0.149,0.045,0.096068417,Female,55082,10.916578263003993
Pennsylvania,67.08,0.368067181,0.73,0.099,0.089,0.039,0.079566828,Female,53527,10.887941478476757
Rhode Island,66.516,0.392366211,0.676,0.046,0.182,0.032,0.147081742,Female,58454,10.97599539911813
South Carolina,66.996,0.375746775,0.62,0.24,0.074,0.017,0.058888017,Female,45229,10.719493753007932
South Dakota,67.476,0.382144622,0.796,0.024,0.05,0.017,0.043448513,Female,46387,10.74477452654493
Tennessee,67.308,0.373664764,0.713,0.15,0.075,0.018,0.060621717,Female,46377,10.744558925664442
Texas,66.924,0.380482391,0.388,0.118,0.4,0.056,0.178842683,Female,49693,10.8136193570947
Utah,67.68,0.454675159,0.745,0.01,0.16,0.025,0.088884624,Female,49092,10.801451367717398
Vermont,66.948,0.409918055,0.892,0.013,0.024,0.016,0.044862726,Female,57556,10.960513665883308
Virginia,67.08,0.382974316,0.583,0.179,0.111,0.07,0.133493152,Female,58540,10.977465560245877
Washington,67.236,0.356095042,0.625,0.038,0.145,0.099,0.155375867,Female,63376,11.056840519861698
West Virginia,66.948,0.356503988,0.902,0.026,0.02,0.007,0.018262544,Female,43666,10.684325046223062
Wisconsin,67.224,0.394373308,0.787,0.057,0.081,0.029,0.052089552,Female,50715,10.833977003810096
Wyoming,67.128,0.388303907,0.815,0.006,0.107,0.006,0.036431376,Female,50242,10.824606609266924
