State,Men's Height,Women's Height
Alabama,179.0,163.5
Alaska,178.0,163.5
Arizona,178.0,163.5
Arkansas,178.0,163.5
California,177.0,163.5
Colorado,177.0,163.5
Connecticut,178.0,163.5
Delaware,178.0,163.5
Florida,178.0,163.5
Georgia,178.0,163.5
Hawaii,177.0,163.5
Idaho,177.0,163.5
Illinois,178.0,163.5
Indiana,178.0,163.5
Iowa,179.0,164.0
Kansas,179.0,164.0
Kentucky,179.0,163.5
Louisiana,178.0,163.5
Maine,178.0,163.5
Maryland,178.0,163.5
Massachusetts,178.0,163.5
Michigan,178.0,163.5
Minnesota,178.0,164.0
Mississippi,178.0,163.5
Missouri,178.0,163.5
Montana,179.0,164.0
Nebraska,179.0,164.0
Nevada,177.0,163.5
New Hampshire,178.0,163.5
New Jersey,177.0,163.0
New Mexico,177.0,163.0
New York,177.0,163.0
North Carolina,178.0,163.5
North Dakota,179.0,164.0
Ohio,178.0,163.5
Oklahoma,178.0,163.5
Oregon,178.0,164.0
Pennsylvania,178.0,163.5
Rhode Island,178.0,163.0
South Carolina,178.0,163.5
South Dakota,179.0,164.0
Tennessee,178.0,163.5
Texas,179.0,164.0
Utah,179.0,164.0
Vermont,178.0,163.5
Virginia,178.0,163.5
Washington,178.0,163.5
West Virginia,179.0,163.0
Wisconsin,178.0,163.5
Wyoming,179.0,164.0
